feature,lgb_importance
battery_risk_roll5_min,39.4
robot_total_lag5,39.0
sku_concentration_diff1,38.6
charge_queue_length,34.6
robot_total_diff2,31.4
sku_concentration_roll10_mean,29.0
robot_total_roll5_max,25.8
battery_risk_scen_min,25.0
robot_total_diff1,21.2
task_reassign_15m,19.4
sku_concentration_roll10_max,18.8
robot_total_roll5_min,15.0
sku_concentration_exp_mean,9.8
robot_total_roll10_mean,9.4
v13_sqrt_robot_total,7.6
robot_total_roll10_max,3.4
sku_concentration_scen_mean,1.0
sku_concentration_roll10_std,0.0
sku_concentration_ewm_mean,0.0
sku_concentration_roll3_std,0.0
sku_concentration_scen_max,0.0
sku_concentration_roll5_std,0.0
sku_concentration_roll10_min,0.0
robot_total_ewm_mean,0.0
robot_total_roll3_std,0.0
robot_total_roll10_std,0.0
robot_total_roll10_min,0.0
robot_total_exp_mean,0.0
robot_total_roll5_std,0.0
sku_concentration_scen_min,0.0
sku_concentration_scen_std,0.0
