feature,lgb_importance,xgb_importance,cat_importance,mean_importance
robot_efficiency_lag1,6131.2,0.0007248912588693202,0.17665013601130736,2043.7924583424235
pack_utilization_roll10_std,6120.4,0.0006874889484606683,0.032601639431679506,2040.1444297094602
robot_efficiency_lag3,6093.0,0.0006439813412725925,0.06867138983422445,2031.0231051237251
robot_efficiency_roll10_std,6084.6,0.0005914633627980947,0.04939253660560901,2028.216661333323
robot_efficiency_lag2,6056.6,0.0008020645822398364,0.10936378577881481,2018.903388616787
order_pressure_roll10_min,6000.4,0.0013540071435272695,0.04859643854707822,2000.1499834818967
order_inflow_15m_roll10_std,5872.2,0.0006035092868842184,0.048612756057806315,1957.4164054217815
battery_cv_roll10_min,5773.2,0.0005888018291443587,0.03599118247453818,1924.4121933281012
timeslot_te,5771.4,0.0008156585041433573,0.1016720518756519,1923.8341625701266
pack_utilization_scen_std,5766.6,0.0008843358024023473,0.0896290745281949,1922.2301711367772
order_per_station_lag1,5750.8,0.0007197369239293038,0.10570511486063423,1916.9688082839284
outbound_truck_wait_min_roll3_min,5694.6,0.000547924730926752,0.08210845751187859,1898.2275521274144
order_per_station_lag2,5617.8,0.0008438809891231358,0.10160431420907283,1872.6341493983994
robot_efficiency_scen_min,5612.8,0.0006642316351644695,0.04987431943728869,1870.9501795170243
battery_cv_lag4,5565.2,0.0005681786220520735,0.022247806267450883,1855.0742719949633
max_zone_density,5539.4,0.002491015358828008,0.31540908068695817,1846.5726333653483
congestion_score_scen_rank,5528.6,0.0013695969944819808,0.34648922807755345,1842.9826196083575
robot_active_roll5_std,5508.2,0.0005534253316000104,0.03603496521762759,1836.0788627968495
battery_cv_scen_std,5493.4,0.004740494606085122,0.1390005427590701,1831.181247012455
robot_idle_scen_std,5415.0,0.0006706484942696989,0.04615397176030723,1805.0156082067517
battery_mean_scen_mean,5403.2,0.0011811412987299263,0.08741642641671717,1801.0961991892384
outbound_truck_wait_min_roll3_max,5293.0,0.0005224619759246707,0.02347380163510867,1764.3413320878706
robot_idle_roll5_std,5285.6,0.0006214688415639103,0.05829055166441727,1761.8863040068356
v13_ts_cos,5231.0,0.0006867761490866542,0.12316800707743966,1743.707951594409
robot_idle_roll10_std,5213.2,0.0007402457064017654,0.026952698911975537,1737.7425643148729
order_pressure_lag4,5202.4,0.0008919952088035643,0.05389719601692966,1734.151596397075
order_per_station_roll10_std,5199.8,0.0007864575367420912,0.035154592181251935,1733.2786470165727
risk_index_diff1,5164.6,0.0008556081331335009,0.05470792633841291,1721.5518545114908
robot_idle_roll3_std,5151.0,0.0005307889368850738,0.05842204983219261,1717.0196509462564
outbound_truck_wait_min_scen_min,5131.6,0.0006152028916403651,0.04742241688748296,1710.5493458732599
robot_active_roll10_std,5089.8,0.0005633243010379374,0.02682873908369594,1696.609130687795
bottle_neck_diff1,5080.2,0.0007169386954046786,0.05846640079689987,1693.4197277798305
order_pressure_diff2,5061.0,0.0009289968060329556,0.08849002402515936,1687.029806340277
battery_cv,5054.4,0.0005704812589101494,0.030499698743802837,1684.8103567266674
order_inflow_15m_roll3_min,5023.8,0.0007033402100205422,0.09336067696561332,1674.631354672392
congestion_score_rel_to_scen,4968.4,0.002080351230688393,0.2676349282259245,1656.2232384264853
robot_active_roll3_std,4962.4,0.0005248742876574397,0.045790310624799935,1654.1487717283037
pack_utilization_scen_mean,4949.8,0.004154102876782417,0.27476682339906455,1650.0263069754253
robot_efficiency_scen_std,4850.8,0.0007334292400628329,0.053054121516866025,1616.951262516919
battery_cv_scen_max,4818.4,0.0029604531126096846,0.19502282666398,1606.1993277599256
outbound_truck_wait_min_roll10_min,4807.8,0.0006018923013471067,0.028215860186600494,1602.609605917496
outbound_truck_wait_min_roll5_min,4793.2,0.0007272435235790908,0.029925458932652145,1597.7435509008185
order_per_station_scen_min,4778.8,0.0008511699154041708,0.0625855390112534,1592.9544789029758
risk_index_diff2,4771.4,0.0008911049575544894,0.026645969032881904,1590.4758456913298
battery_cv_exp_mean,4731.6,0.0009546282235532999,0.08703802660730807,1577.2293308849437
order_inflow_15m_scen_std,4721.4,0.0009068643674254417,0.04742817541212124,1573.8161116799265
pack_utilization_roll3_min,4611.6,0.0038456419017165898,0.0659640833188723,1537.223269908407
battery_cv_lag3,4610.4,0.0005742103792726993,0.02105958638593982,1536.8072112655882
robot_idle_diff2,4595.0,0.0005917822883930058,0.0790549353506284,1531.6932155725463
order_pressure_lag3,4585.2,0.0007985397125594318,0.05397525477380609,1528.4182579314954
avg_trip_distance,4579.4,0.0003295430971775204,0.0426407761563717,1526.4809901064175
order_per_station_roll3_min,4553.4,0.0009651524014770985,0.04674177693003687,1517.815902309777
bottle_neck_diff2,4549.8,0.0005739249638281763,0.04395320594304698,1516.614842376969
outbound_truck_wait_min_roll10_max,4512.4,0.0005959108006209135,0.014486812949189867,1504.1383609079164
order_pressure_roll3_std,4510.6,0.0011365443700924517,0.08360164397645924,1503.5615793961153
robot_idle_diff1,4510.4,0.0011196412029676138,0.08657623615762908,1503.4958986257868
robot_efficiency_roll3_min,4487.2,0.0010583384311757982,0.07184990794618693,1495.7576360821256
robot_active_lag5,4483.4,0.0005885977880097926,0.03776402031458816,1494.4794508727007
order_per_station_roll10_min,4474.8,0.0011958476854488254,0.05244625563195497,1491.6178807011058
pack_utilization_scen_min,4471.4,0.003489859402179718,0.18267152626472719,1490.528720461889
outbound_truck_wait_min_roll5_max,4453.6,0.0005687882541678846,0.01612538372553359,1484.5388980573268
order_pressure_diff1,4434.4,0.0009845814434811472,0.08165215589834099,1478.1608789124473
order_inflow_15m_scen_min,4430.8,0.0006181122036650777,0.07945970929497219,1476.9600259404997
order_per_station_roll5_min,4412.6,0.0010269274585880338,0.07836493261807519,1470.8931306200257
